Bouton_guichet;R1_Administrateur;R2_Superviseur;R3_Chefdegare;R4_Caisse;R5_ChefGuichet;R6_Vente;R7_Comptable;R8_Confirmateur;R9_Config_RH;R10_Vente_mobile;R11_Carte_voyage;R12_Bagagiste;R13_Caisse_globale;R14_Caisse_globale_allégé;R15_ChefGuichet_allégé;R16_Consultation_caisse;R17_Operateur_escal;R18_Adjoint_caisse
RETOUR GARE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
RETOUR TICKET;;;;;X;X;;;;;;;;;;;;
VOIR BORDEREAU BAGAGES(HISTORIQUE);X;X;;;X;;;;;;;X;;;;;;
VOIR CAISSE;X;X;;X;X;;;;;;;;;;;X;;X
VOIR CAISSE PRINCIPALE;X;X;;;;;;;;;;;X;X;;;;
VOIR ETATS;X;X;;X;X;;;X;;;;;;;X;;;X
VOIR PROGRAMME;X;X;X;;X;;;X;X;;;;;;X;;;
VOIR REIMPRESSION;X;;;;;;;;;;;;;;;;X;
PROGRAMME DE BUS;X;;;;;;;;;;;;;;;;;
REPROGRAMMER AUTRE TICKET;X;X;;;;;;;;;;;;;;;;
REPROGRAMMER TICKET;X;X;;;X;X;;;;;;;;;X;;;
REPROGRAMMER TICKET GUICHET;;;;;X;;;;;;;;;;X;;;
LISTES;X;X;;;X;X;;X;;;;;;;X;;;
DEPARTS;X;X;;;X;;;X;;;;;;;X;;;
TARIFICATION;X;X;;;X;;;X;;;;;;;X;;;
STATUT_HEURE_GARE;X;X;;;X;;;X;;;;;;;X;;;
COMPTE;X;;;;;X;;;;X;;X;;;;;;
COMPTE ESCAL;;;;;;;;;;;;;;;;;X;
COMPTEBAGAGE;X;;;;;;;;;;;;;;;;;
AUTRES VENTE;X;X;;X;X;;;X;;;X;;;;X;;;X
BAGAGES AVEC TICKET NON FACTURER;X;X;;;;;;;;;;X;;;;;;
BROUILLARD(EXERCICE) TICKET;X;X;;;;;X;;;;;;;;;;;
BROUILLARD(EXERCICE)TICKET ESCAL;X;X;;;;;X;;;;;;;;;;;
CONFIRMER AUTRE TICKET;X;X;;;;;;;;;;;;;;;;
CONFIRMER BON;X;;;;X;X;;;;;;;;;X;;;
CONFIRMER CARTE;X;;;;X;X;;;;;;;;;X;;;
CONFIRMER TICKET;X;X;;;X;X;;X;;;;;;;X;;;
CONFIRMER TICKET GUICHET;;;;;X;;;;;;;;;;X;;;
ETAT GLOBAL TICKET GUICHETIER;X;X;;;;;;;;;;;X;X;;;;
ETAT GLOBAL TICKET GUICHETIER ESCAL;X;X;;;;;;;;;;;X;X;;;;
EXERCICE MENSUEL TICKET GUICHETIER;X;X;;;;;X;;;;;;;;;;;
EXERCICE MENSUEL TICKET GUICHETIER ESCAL;X;X;;;;;X;;;;;;;;;;;
FACTURATION BAGAGES AVEC TICKET;X;X;;;;;;;;;;X;;;;;;
MANIFEST TICKET;X;X;;;;;X;;;;;;;;;;;
MANIFEST TICKET ESCAL;X;X;;;;;X;;;;;;;;;;;
RECAP EX MENSUEL TICKET;X;X;;;;;X;;;;;;;;;;;
RECAP GLOBAL TICKET;X;X;;;;;;;;;;;X;X;;;;
RECAP GLOBAL TICKET ESCAL;X;X;;;;;;;;;;;X;X;;;;
