id_role;nom_role;bouton_guichet;present
1;Administrateur;RETOUR GARE;1
1;Administrateur;RETOUR TICKET;0
1;Administrateur;VOIR BORDEREAU BAGAGES(HISTORIQUE);1
1;Administrateur;VOIR CAISSE;1
1;Administrateur;VOIR CAISSE PRINCIPALE;1
1;Administrateur;VOIR ETATS;1
1;Administrateur;VOIR PROGRAMME;1
1;Administrateur;VOIR REIMPRESSION;1
1;Administrateur;PROGRAMME DE BUS;1
1;Administrateur;REPROGRAMMER AUTRE TICKET;1
1;Administrateur;REPROGRAMMER TICKET;1
1;Administrateur;REPROGRAMMER TICKET GUICHET;0
1;Administrateur;LISTES;1
1;Administrateur;DEPARTS;1
1;Administrateur;TARIFICATION;1
1;Administrateur;STATUT_HEURE_GARE;1
1;Administrateur;COMPTE;1
1;Administrateur;COMPTE ESCAL;0
1;Administrateur;COMPTEBAGAGE;1
1;Administrateur;AUTRES VENTE;1
1;Administrateur;BAGAGES AVEC TICKET NON FACTURER;1
1;Administrateur;BROUILLARD(EXERCICE) TICKET;1
1;Administrateur;BROUILLARD(EXERCICE)TICKET ESCAL;1
1;Administrateur;CONFIRMER AUTRE TICKET;1
1;Administrateur;CONFIRMER BON;1
1;Administrateur;CONFIRMER CARTE;1
1;Administrateur;CONFIRMER TICKET;1
1;Administrateur;CONFIRMER TICKET GUICHET;0
1;Administrateur;ETAT GLOBAL TICKET GUICHETIER;1
1;Administrateur;ETAT GLOBAL TICKET GUICHETIER ESCAL;1
1;Administrateur;EXERCICE MENSUEL TICKET GUICHETIER;1
1;Administrateur;EXERCICE MENSUEL TICKET GUICHETIER ESCAL;1
1;Administrateur;FACTURATION BAGAGES AVEC TICKET;1
1;Administrateur;MANIFEST TICKET;1
1;Administrateur;MANIFEST TICKET ESCAL;1
1;Administrateur;RECAP EX MENSUEL TICKET;1
1;Administrateur;RECAP GLOBAL TICKET;1
1;Administrateur;RECAP GLOBAL TICKET ESCAL;1
1;Administrateur;RECETTE GLOBALE TICKET;1
1;Administrateur;RECETTE GLOBALE TICKET PAR GARE;1
1;Administrateur;RECETTE PAR OPERATEUR TICKET;1
1;Administrateur;RESERVATION;1
1;Administrateur;TICKET;0
1;Administrateur;TICKET CONFIRMER;0
1;Administrateur;TICKET CONFIRMER DU JOUR;1
1;Administrateur;VALIDER RESERVATION;1
1;Administrateur;VENTE GUICHET;1
1;Administrateur;VENTE MOBILE;1
1;Administrateur;VENTE MOBILE ESCAL;0
1;Administrateur;VENTE TICKET;0
1;Administrateur;VERSEMENT TICKET GUICHETIER;1
1;Administrateur;AUTRES FACTURATION BAGAGES;1
1;Administrateur;BAGAGE;0
1;Administrateur;BAGAGE ESCAL;1
1;Administrateur;BAGAGES DECLARER;1
1;Administrateur;BAGAGES ESCAL DECLARER;1
1;Administrateur;BORDEREAU SUIVI BAGAGES;1
1;Administrateur;BROUILLARD(EXERCICE) BAGAGE;1
1;Administrateur;BROUILLARD(EXERCICE) BAGAGEESCAL;1
1;Administrateur;DECLARATION BAGAGES;1
1;Administrateur;DECLARATION BAGAGES ESCAL;1
1;Administrateur;ETAT GLOBAL BAGAGE OPERATEUR;1
1;Administrateur;ETAT GLOBAL BAGAGEESCAL OPERATEUR;1
1;Administrateur;EXERCICE MENSUEL BAGAGE OPERATEUR;1
1;Administrateur;EXERCICE MENSUEL BAGAGEESCAL OPERATEUR;1
1;Administrateur;FACTURATION BAGAGES ENVOI;1
1;Administrateur;MANIFEST BAGAGE;1
1;Administrateur;MANIFEST BAGAGEESCAL;1
1;Administrateur;MODIFICATION VERSEMENT BAGAGE;1
1;Administrateur;RECAP EX MENSUEL BAGAGE;1
1;Administrateur;RECAP EX MENSUEL BAGAGEESCAL;1
1;Administrateur;RECAP GLOBAL BAGAGE;1
1;Administrateur;RECAP GLOBAL BAGAGE ESCAL;1
1;Administrateur;VERSEMENT BAGAGES;1
1;Administrateur;ARCHIVER DONNEES COURRIER;1
1;Administrateur;BROUILLARD(EXERCICE) COURRIER;1
1;Administrateur;BROUILLARD(EXERCICE) COURRIERESCAL;1
1;Administrateur;COURRIERS DECLARER;1
1;Administrateur;COURRIERSESCAL DECLARER;1
1;Administrateur;DECLARATION;1
1;Administrateur;DECLARATION COURRIERS;1
1;Administrateur;DECLARATION COURRIERSESCAL;1
1;Administrateur;DECLARATION ESCAL;1
1;Administrateur;DECLARER;1
1;Administrateur;DECLARER ESCAL;1
1;Administrateur;ETAT GLOBAL COURRIER GUICHETIER;1
1;Administrateur;ETAT GLOBAL COURRIERESCAL GUICHETIER;1
1;Administrateur;ETAT PASSAGERS;0
1;Administrateur;EXERCICE LISTE COURRIER;1
1;Administrateur;EXERCICE LISTE COURRIERESCAL;1
1;Administrateur;EXERCICE LISTE PASSAGERS;1
1;Administrateur;EXERCICE LISTE PASSAGERS ESCAL;1
1;Administrateur;EXERCICE MENSUEL COURRIER GUICHETIER;1
1;Administrateur;EXERCICE MENSUEL COURRIERESCAL GUICHETIER;1
1;Administrateur;LISTE GLOBALE COURRIER;1
1;Administrateur;LISTE GLOBALE COURRIERESCAL;1
1;Administrateur;LISTE GLOBALE PASSAGERS;1
1;Administrateur;LISTE GLOBALE PASSAGERS ESCAL;1
1;Administrateur;MANIFEST COURRIER;1
1;Administrateur;MANIFEST COURRIERESCAL;1
