Operation_caisse;R1_Administrateur;R2_Superviseur;R3_Chefdegare;R4_Caisse;R5_ChefGuichet;R6_Vente;R7_Comptable;R8_Confirmateur;R9_Config_RH;R10_Vente_mobile;R11_Carte_voyage;R12_Bagagiste;R13_Caisse_globale;R14_Caisse_globale_allégé;R15_ChefGuichet_allégé;R16_Consultation_caisse;R17_Operateur_escal;R18_Adjoint_caisse
Recettes_internes_saisie;X;X;;X;;;;;;;;;;;;;;X
Recettes_internes_auto_validation_operavalid;;;;X;;;;;;;;;;;;;;
Recettes_internes_validation_adjoint_operavalidad;;;;;;;;;;;;;;;;;;X
Depenses_internes;X;X;;X;;;;;;;;;;;;;;X
Depenses_externes;X;X;;X;;;;;;;;;;;;;;X
Versements_banque;X;X;;X;;;;;;;;;;;;;;X
Versements_client;X;X;;X;;;;;;;;;;;;;;X
Versements_fournisseur;X;X;;X;;;;;;;;;;;;;;X
Versements_caisse;X;X;;X;;;;;;;;;;;;;;X
Depots_caisse;X;X;;X;;;;;;;;;;;;;;X
Depots_sous_caisse;X;X;;X;;;;;;;;;;;;;;X
Depots_internes;X;X;;X;;;;;;;;;;;;;;X
Depots_client;X;X;;X;;;;;;;;;;;;;;X
Depots_fournisseur;X;X;;X;;;;;;;;;;;;;;X
Validation_recettes_guichet;X;X;;;;;;;;;;;;;;;;
Validation_recettes_guichet_escal;X;X;;;;;;;;;;;;;;;;
Validation_recettes_bagages;X;X;;;;;;;;;;;;;;;;
Validation_depenses_courrier;X;X;;;;;;;;;;;;;;;;
Validation_compte_arret_caisse;X;X;;;;;;;;;;;;;;;;
Recettes_non_validees;X;X;;;;;;;;;;;;;;;;
Depenses_non_validees;X;X;;;;;;;;;;;;;;;;
Depots_non_valides;X;X;;;;;;;;;;;;;;;;
Soldes_accueil;X;X;;X;;;;;;;;;;;;;;X
Voir_caisse_guichet;X;X;;X;X;;;;;;;;;;;X;;X
Voir_caisse_principale;X;X;;;;;;;;;;;X;X;;;;
Vue_donnees_adjoint_adget;X;X;;;;;;;;;;;;;;;;X
Vue_donnees_standard_get;X;X;;X;;;;;;;;;;;;;;
